ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,X_deg,Y_deg,DistRoadKm
electrified,Already Electrified,0.0,0.0,18,1425.69,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5626100351506502,7.97528391180778,2.128525
electrified,Already Electrified,0.0,0.0,1079,124123.725,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.3712535407014674,6.746927961483821,1.926787
electrified,Already Electrified,0.0,0.0,954,130488.86875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.1939941225317394,7.838552632886023,0.0
unelectrified,SHS,2100.0,0.6265136872999727,14,1386.0875,0.003225076143044932,Phase 3 (→2040),2040.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.6098326628073494,11.26890704207399,0.344305
electrified,Already Electrified,0.0,0.0,329,28453.94,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.780669471811091,9.879204898322048,0.0
unelectrified,SHS,5100.0,0.6265136872999727,34,2692.97,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,2.7451108995542866,8.975257052560604,10.376581
unelectrified,SHS,1200.0,0.6265136872999727,8,633.64,0.015302427701892978,Phase 3 (→2040),2040.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,2.0117691701065255,11.025354426621904,13.731505
electrified,Already Electrified,0.0,0.0,409,41086.225,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.5865709128432746,10.114398903887208,0.0
electrified,Already Electrified,0.0,0.0,20,1980.125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.002709715511245,7.281389463900711,1.746301
electrified,Already Electrified,0.0,0.0,36,3564.225,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.6008404365169477,9.508544565582628,2.170666
electrified,Already Electrified,0.0,0.0,29,2871.18125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0603488731128274,10.66243652655322,16.133044
unelectrified,SHS,2550.0,0.6265136872999727,17,1683.10625,0.0,Phase 2 (→2035),2035.0,N/A,0.554429730585581,0.6265136872999727,inf,inf,1.9595985069536908,6.81457775359399,6.225598
electrified,Already Electrified,0.0,0.0,32,3168.2,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.6694772140771674,7.230277441510483,11.854192
unelectrified,SHS,1200.0,0.6265136872999727,8,792.05,0.012573357473056221,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.162060734319704,11.163569727700608,10.915656
electrified,Already Electrified,0.0,0.0,29,2871.18125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.9263048386847001,6.766213783652557,10.698025
unelectrified,SHS,5850.0,0.6265136872999727,39,3861.24375,0.0,Phase 2 (→2035),2035.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,0.950853878820545,10.821072952515769,16.231798
unelectrified,SHS,11250.0,0.6265136872999727,75,5940.375,0.0,Phase 1 (→2030),2030.0,N/A,0.679435588411278,0.6265136872999727,inf,inf,1.6653631929161132,9.078044933832075,2.484602
electrified,Already Electrified,0.0,0.0,139,13761.86875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.1648006453944042,10.431842697309976,0.060926
electrified,Already Electrified,0.0,0.0,18,1425.69,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5107449655319125,11.170060552468794,13.861762
unelectrified,SHS,3000.0,0.6265136872999727,20,1980.125,0.0,Phase 2 (→2035),2035.0,N/A,0.5458284845860683,0.6265136872999727,inf,inf,3.751260714009608,10.959237486157356,5.951883
electrified,Already Electrified,0.0,0.0,1932,214572.55,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.8526426013147557,11.118192108328813,0.0
electrified,Already Electrified,0.0,0.0,811,104733.1,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.918536867559204,6.428086871067637,1.430964
electrified,Already Electrified,0.0,0.0,66,6534.4125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.655149053953628,6.684479875740649,2.419075
electrified,Already Electrified,0.0,0.0,18,1782.1125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.607909881428615,7.051586794407271,3.654276
unelectrified,SHS,2850.0,0.6265136872999727,19,1881.11875,0.0,Phase 2 (→2035),2035.0,N/A,0.5385719159573887,0.6265136872999727,inf,inf,2.586604844686433,11.55898745693211,6.851016
unelectrified,SHS,31950.0,7.5059214296423695,213,1289.19375,0.0,Phase 1 (→2030),2030.0,N/A,7.399770411464462,7.5059214296423695,inf,inf,1.5985536072579742,10.41134844781107,2.852692
unelectrified,SHS,3300.0,0.6265136872999727,22,1742.51,0.0,Phase 2 (→2035),2035.0,N/A,0.6794355884112782,0.6265136872999727,inf,inf,3.186882877422666,11.602309882772621,2.763094
unelectrified,SHS,2400.0,0.6265136872999727,16,1584.1,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.6163724396752905,11.306092696852588,4.479473
electrified,Already Electrified,0.0,0.0,43,3405.815,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.062170500004519,7.8954428089045345,0.437987
unelectrified,SHS,4350.0,0.6265136872999727,29,2296.945,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812212,0.6265136872999727,inf,inf,2.923144527818429,10.752098701358314,13.009379
electrified,Already Electrified,0.0,0.0,27,2776.92,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.257742568922467,6.352610883690038,1.28503
unelectrified,SHS,43800.0,35.30268053766773,292,375.76625,0.0,Phase 2 (→2035),2035.0,N/A,34.46340220566562,35.30268053766773,inf,inf,3.543322299155317,10.828154392960837,5.553531
electrified,Already Electrified,0.0,0.0,90,24339.56875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.6920672216758366,9.41062506846969,0.073926
unelectrified,SHS,4800.0,0.6265136872999727,32,2534.56,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,1.7948586496411452,9.289371010792307,24.364273
electrified,Already Electrified,0.0,0.0,42,4158.2625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.2120195448642452,10.197067302938558,0.0
electrified,Already Electrified,0.0,0.0,47,4850.85,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.941379107098707,6.633912213368056,2.243383
electrified,Already Electrified,0.0,0.0,1073,142866.11,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.6638601580459935,9.020511445860663,0.0
unelectrified,SHS,11400.0,0.6265136872999727,76,6019.58,0.0,Phase 1 (→2030),2030.0,N/A,0.6700835724535691,0.6265136872999727,inf,inf,1.7524235768046226,7.718014306542624,8.630829
electrified,Already Electrified,0.0,0.0,22,2375.69375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,3.590188612419894,10.773211470857518,0.246364
electrified,Already Electrified,0.0,0.0,214,24355.99375,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.074769130405066,6.519996782919889,6.29832
unelectrified,SHS,3300.0,0.6265136872999727,22,1742.51,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,3.045455618837454,9.542423491363055,10.215326
electrified,Already Electrified,0.0,0.0,32,3168.2,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.6264992757050982,9.640117236309296,0.493271
unelectrified,SHS,8550.0,6.82489237455226,57,379.42125,0.024315128798052744,Phase 3 (→2040),2040.0,N/A,6.815907892320022,6.82489237455226,inf,inf,1.8436735303768534,9.822769192313112,2.45147
unelectrified,SHS,5100.0,0.6265136872999727,34,3366.2125,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.2150613188846755,11.018887975656112,0.284628
electrified,Already Electrified,0.0,0.0,25,1980.125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.858642315442719,9.244432989745215,25.165479
unelectrified,Mini-Grid: Mini-Hydro,41472.15625,0.33930405748552395,86,8514.5375,0.0,Phase 1 (→2030),2030.0,N/A,0.5438971058907482,0.6265136872999727,0.4582964967138832,0.33930405748552395,1.0975535101692842,10.362660413233403,1.222191
electrified,Already Electrified,0.0,0.0,34,3009.06,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.6845974791461935,7.163581473043537,3.309178
electrified,Already Electrified,0.0,0.0,463,58615.35,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.608109427701372,6.661885789848991,0.434813
electrified,Already Electrified,0.0,0.0,57,6844.20625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.6693030236301722,6.865939734500797,6.032849
electrified,Already Electrified,0.0,0.0,59,5305.275,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5631208620047317,9.05412484128141,0.032709
unelectrified,SHS,3300.0,0.6265136872999727,22,2178.1375,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,2.1858931905116554,11.028900633142502,3.49723
electrified,Already Electrified,0.0,0.0,141,14750.10625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.9831505917002341,7.363793793917465,5.585742
electrified,Already Electrified,0.0,0.0,23,1821.715,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.0295518102490293,7.5830672941470905,9.049953
