ElecStatus,MinimumOverall,InvestmentCost,MinimumOverallLCOE,NumConnections,DemandKWh_Y0,DistNearElecKm,ElecTargetPhase,ElecTargetYear,GridRolloutPhase,LCOE_Grid,LCOE_SHS,LCOE_MG_Solar,LCOE_MG_Hydro,X_deg,Y_deg,DistRoadKm
electrified,Already Electrified,0.0,0.0,17,1346.485,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,3.4956274073602427,11.628546908715837,0.0
unelectrified,SHS,6300.0,0.6265136872999727,42,4158.2625,0.0,Phase 1 (→2030),2030.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.1697753242217095,7.3771393325960135,10.164386
unelectrified,SHS,11550.0,36.140102215207065,77,96.793,0.011312200331365102,Phase 3 (→2040),2040.0,N/A,35.69815276578681,36.140102215207065,inf,inf,1.9325910152253634,6.524082889587977,1.086374
electrified,Already Electrified,0.0,0.0,415,42896.625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.5586842821886384,10.563093902021976,7.986889
electrified,Already Electrified,0.0,0.0,109,11779.4625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.9440511093943416,6.62421124874698,1.318121
unelectrified,SHS,2400.0,0.6265136872999727,16,1584.1,0.023330673729702194,Phase 3 (→2040),2040.0,N/A,0.5438971058907482,0.6265136872999727,inf,inf,2.926753243913305,10.172764228589013,1.987448
electrified,Already Electrified,0.0,0.0,41,4256.8125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.394359775879793,9.796801416355878,0.0
electrified,Already Electrified,0.0,0.0,39,4849.025,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5937559977966984,6.733788767240612,2.146397
electrified,Already Electrified,0.0,0.0,28,2772.175,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0263993419350763,10.291833642465008,10.079564
unelectrified,SHS,3450.0,7.168070765766063,23,145.77,0.004142742117788521,Phase 3 (→2040),2040.0,N/A,7.154017780811205,7.168070765766063,inf,inf,2.8328698353886947,10.175550030034149,0.907785
electrified,Already Electrified,0.0,0.0,21,2079.13125,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5844407017596938,6.677054107867888,3.317763
unelectrified,SHS,3750.0,0.6265136872999727,25,1980.125,0.0,Phase 2 (→2035),2035.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,2.6940653737666884,8.977838544199697,10.018552
electrified,Already Electrified,0.0,0.0,14,1386.0875,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.4537420070645999,9.854968041899243,7.867836
electrified,Already Electrified,0.0,0.0,33,3267.20625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.566676962891808,11.626510082909178,3.563414
unelectrified,SHS,1950.0,0.6265136872999727,13,1029.665,0.005007349613846688,Phase 3 (→2040),2040.0,N/A,0.6618510543812214,0.6265136872999727,inf,inf,3.535980901721476,9.925461153226491,21.643231
unelectrified,SHS,1200.0,0.6265136872999727,8,792.05,0.0036897382207306717,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,2.4157308155999653,11.517475407782582,11.596747
unelectrified,Mini-Grid: Solar PV Only,51154.36083333333,0.4582964967138833,104,10296.65,0.0,Phase 1 (→2030),2030.0,N/A,0.5385719159573886,0.6265136872999727,0.4582964967138833,inf,3.307136961530691,10.393771731755354,6.607697
unelectrified,SHS,1800.0,0.6265136872999727,12,1188.075,0.01848481230321888,Phase 3 (→2040),2040.0,N/A,0.5458284845860681,0.6265136872999727,inf,inf,2.780824084734482,10.858445164876537,6.186574
unelectrified,SHS,2850.0,0.6265136872999727,19,1881.11875,0.0,Phase 2 (→2035),2035.0,N/A,0.5438971058907484,0.6265136872999727,inf,inf,2.756629687020131,10.742607179298476,3.528568
electrified,Already Electrified,0.0,0.0,26,2574.1625,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.9463460222560114,6.629544640664873,2.009578
electrified,Already Electrified,0.0,0.0,32,3168.2,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,1.0382747771250445,10.65372862978657,16.283098
electrified,Already Electrified,0.0,0.0,20,2544.78,0.0,Already Electrified,,N/A,0.0,inf,inf,inf,2.5742261541866633,9.242981493620453,0.103033
unelectrified,SHS,2250.0,0.6265136872999727,15,1485.09375,0.00248439571924515,Phase 3 (→2040),2040.0,N/A,0.5338841863209854,0.6265136872999727,inf,inf,3.418559134969444,9.935181288478052,11.083641
unelectrified,SHS,14250.0,7.629690116553339,95,565.665,0.0,Phase 2 (→2035),2035.0,N/A,7.520274753614304,7.629690116553339,inf,inf,2.8900634046258844,9.44007534442961,9.832559
